"White population","Black population","Grey population","Global temperature"
"11","3","826","31.76749588180661"
"12","3","823","31.89797797852122"
"11","3","820","31.95068031481447"
"16","3","821","32.03597882474163"
"14","2","823","31.878383043727226"
"14","2","824","31.84899139132386"
"15","2","824","31.825056755573033"
"15","2","824","31.77235470981196"
"15","1","824","31.74423777514697"
"15","1","825","31.719084366037144"
"15","1","825","31.697393831112787"
"16","1","822","31.685853111054126"
"16","1","823","31.662334098542804"
"16","1","824","31.643726397956485"
"16","1","824","31.62641963323039"
"16","1","824","31.617587157814572"
"18","1","822","31.613049243667312"
"18","1","821","31.547656076816867"
"18","1","822","31.521239702044472"
"18","1","821","31.49897752737192"
"17","1","823","31.49550064508666"
"15","1","824","31.516924987144968"
"17","1","823","31.59967319996915"
"17","0","820","31.572303782391575"
"19","0","818","31.57249934297045"
"22","0","817","31.509605527788917"
"23","0","814","31.36494796683201"
"24","1","813","31.27322650388683"
"21","1","817","31.203191452113607"
"22","1","818","31.245278070477898"
"23","2","816","31.219127120033903"
"22","2","817","31.19214228718042"
"22","2","817","31.209375914809236"
"22","2","816","31.218537106711025"
"22","3","816","31.23168717328436"
"22","3","815","31.24881193712434"
"21","3","817","31.2661939113675"
"20","3","817","31.298518656583383"
"20","3","818","31.35258777589776"
"20","4","816","31.374363784055014"
"20","4","817","31.41301034844355"
"19","4","817","31.425332850353858"
"19","4","818","31.471685128075556"
"19","5","817","31.487989012019455"
"19","5","817","31.515019898554005"
"21","5","815","31.52931505529274"
"25","5","810","31.47381411844373"
"27","5","807","31.326490387471942"
"27","5","807","31.193496168652732"
"29","5","805","31.122851621314474"
"26","5","802","31.022268949716832"
"25","6","808","31.113292281577607"
"24","5","811","31.16765800865788"
"23","5","810","31.202781504728254"
"22","5","814","31.270067747463838"
"21","4","814","31.31215182430789"
"21","4","816","31.363912916386187"
"21","4","816","31.374666513293395"
"21","4","816","31.38030683608564"
"21","3","816","31.38328529551329"
"22","3","815","31.374718744605392"
"22","3","816","31.33864603049193"
"22","3","815","31.31171493846103"
"22","3","815","31.30606080023925"
"23","2","814","31.300812277542637"
"23","2","815","31.258108785394715"
"23","2","815","31.227692766969575"
"23","2","815","31.2117424695914"
"23","1","816","31.20335528711308"
"23","1","816","31.18050981166738"
"21","1","814","31.168404403049315"
"18","1","819","31.258211439425196"
"16","1","824","31.383787497842096"
"17","1","817","31.48865071420987"
"14","1","823","31.562477750355423"
"14","1","824","31.67128539072947"
"12","0","826","31.720698039687978"
"12","0","828","31.792482607412207"
"16","0","825","31.81294160659772"
"18","0","823","31.688943448184496"
"18","0","822","31.55980372248812"
"18","1","822","31.499391477207176"
"20","1","817","31.477400538686098"
"19","1","821","31.43308585010708"
"20","1","820","31.418066161847957"
"19","1","820","31.384796886350877"
"20","1","820","31.40910579022495"
"21","1","819","31.382509630253328"
"21","2","818","31.336835912155586"
"21","3","815","31.32770982100088"
"22","3","816","31.354296347957053"
"21","3","816","31.321540091838017"
"21","3","817","31.34429897430216"
"21","3","816","31.34819512106782"
"21","3","817","31.358586159956115"
"22","3","815","31.35582353572274"
"23","3","810","31.331126395437394"
"25","3","813","31.31818811984573"
"25","3","810","31.207674695971708"
"26","3","805","31.174187261603304"
"25","3","805","31.158182437339004"
"25","3","811","31.189544306806994"
"25","3","812","31.156312837176873"
"21","3","815","31.130409549482533"
"22","3","816","31.251087961712493"
"23","3","815","31.267130391446116"
"23","2","815","31.244157706607773"
"21","2","817","31.221823626917264"
"22","2","816","31.265998658080967"
"21","2","817","31.257017548738215"
"21","2","817","31.27639428363207"
"20","2","819","31.285603640436427"
"19","2","820","31.313260520724306"
"20","1","820","31.35926131553086"
"19","0","820","31.336896615802406"
"18","0","822","31.355766815369982"
"19","0","822","31.386984951559334"
"19","0","822","31.365574266907153"
"19","0","822","31.35478520658225"
"19","1","820","31.349255070550882"
"20","1","820","31.37312452267611"
"20","1","820","31.346016016962377"
"19","1","821","31.331626158765133"
"19","1","820","31.355511830389045"
"19","1","815","31.376495499872743"
"24","1","814","31.429154277553085"
"26","1","813","31.271947292947804"
"26","1","814","31.119023748917208"
"25","1","814","31.03073883298294"
"22","1","818","31.02430522318195"
"21","1","819","31.107488253620183"
"21","1","819","31.183355613574726"
"21","1","819","31.223731596555055"
"20","1","819","31.24521060043176"
"20","1","820","31.296448814325466"
"21","1","819","31.31537893718169"
"21","1","819","31.29390972394851"
"21","1","818","31.282503267935358"
"20","1","820","31.284734608556203"
"20","1","820","31.309151841290227"
"21","1","819","31.32212234445303"
"20","1","819","31.29748541546459"
"20","1","820","31.32177018506038"
"20","1","820","31.328033770074114"
"20","0","820","31.33186961773243"
"19","0","819","31.323922899447066"
"19","0","822","31.36786679222568"
"16","0","822","31.366354657547653"
"16","0","823","31.485011373976057"
"15","0","824","31.539757969158053"
"12","0","828","31.600306635026556"
"10","0","828","31.71152669578825"
"10","0","829","31.84930425398163"
"11","0","830","31.913325620645946"
"13","0","827","31.898713850668045"
"13","0","828","31.835925984967187"
"14","0","827","31.794159726186148"
"14","0","826","31.74039709079632"
"16","0","824","31.720112951369785"
"17","0","824","31.64628468458848"
"16","0","825","31.5672482971967"
"16","0","824","31.5568379282601"
"16","0","825","31.5596531501521"
"16","0","824","31.552894740951697"
"16","0","825","31.55760743536457"
"15","0","825","31.551831994370893"
"15","0","826","31.588592788691727"
"15","0","825","31.59983736955612"
"16","0","825","31.61166905406056"
