"White population","Black population","Grey population","Global temperature"
"0","841","0","24.397712341954037"
"0","841","0","24.397769196588083"
"0","841","0","24.39779939991319"
"0","840","0","24.39781544455727"
"0","841","0","24.390660024512684"
"0","841","0","24.39497411063314"
"0","841","0","24.396636324703422"
"0","840","0","24.3973125549662"
"0","841","0","24.38924202315358"
"0","841","0","24.39390187522072"
"0","841","0","24.39597910163806"
"0","841","0","24.396940887088252"
"0","841","0","24.397397865483395"
"0","841","0","24.397618837385835"
"0","841","0","24.397726995833708"
"0","841","0","24.3977803993369"
"0","840","0","24.39780693964538"
"0","841","0","24.38946226331983"
"0","841","0","24.394095625422178"
"0","840","0","24.39613365272566"
"0","841","0","24.38868997242673"
"0","841","0","24.39364083824257"
"0","841","0","24.395854511151732"
"0","841","0","24.396880271257206"
"0","841","0","24.39736764398019"
"0","841","0","24.397603407683157"
"0","841","0","24.397718965103245"
"0","840","0","24.397776162344574"
"0","841","0","24.389446751899698"
"0","840","0","24.39399449074864"
"0","841","0","24.388857862666253"
"0","841","0","24.3941058588896"
"0","841","0","24.396211589378893"
"0","841","0","24.397102418190958"
"0","840","0","24.39749508801977"
"0","841","0","24.389315750703382"
"0","841","0","24.39402565511608"
"0","841","0","24.39609980388813"
"0","841","0","24.39703136138957"
"0","841","0","24.397457184490534"
"0","841","0","24.397654858721637"
"0","841","0","24.39774785470774"
"0","841","0","24.39779210880697"
"0","840","0","24.397813375865375"
"0","841","0","24.39065973984213"
"0","840","0","24.39497433061347"
"0","841","0","24.38827867903683"
"0","841","0","24.39348828615793"
"0","841","0","24.395795721742235"
"0","841","0","24.396856874434192"
"0","841","0","24.397358025861553"
"0","841","0","24.397599291543383"
"0","841","0","24.397717108098817"
"0","841","0","24.397775269382688"
"0","841","0","24.397804226351013"
"0","840","0","24.397818741707113"
"0","841","0","24.390662115627162"
"0","841","0","24.394975380134337"
"0","841","0","24.396637073730815"
"0","841","0","24.39731298817767"
"0","841","0","24.39760020331887"
"0","841","0","24.397726515095105"
"0","841","0","24.397783574162673"
"0","841","0","24.39780989643174"
"0","841","0","24.397822242702034"
"0","841","0","24.39782811132655"
"0","841","0","24.397830931351134"
"0","841","0","24.39783229867307"
"0","841","0","24.397832966651126"
"0","841","0","24.397833295075873"
"0","841","0","24.39783345744442"
"0","840","0","24.397833538101995"
"0","841","0","24.38947564508387"
"0","841","0","24.394009097775744"
"0","841","0","24.39602921383371"
"0","841","0","24.39696400983772"
"0","841","0","24.39740808318513"
"0","841","0","24.39762301874105"
"0","841","0","24.397728485896973"
"0","841","0","24.39778077738308"
"0","841","0","24.397806913933834"
"0","840","0","24.397820061868096"
"0","841","0","24.390662767808706"
"0","841","0","24.394975703915012"
"0","841","0","24.39663723516736"
"0","841","0","24.39731306897527"
"0","841","0","24.39760024389348"
"0","841","0","24.39772653553192"
"0","841","0","24.39778358448423"
"0","841","0","24.39780990165734"
"0","841","0","24.39782224535345"
"0","841","0","24.39782811267463"
"0","841","0","24.397830932037802"
"0","841","0","24.397832299023452"
"0","841","0","24.397832966830123"
"0","841","0","24.397833295167505"
"0","841","0","24.397833457491377"
"0","841","0","24.3978335381261"
"0","841","0","24.397833578349964"
"0","841","0","24.397833598489708"
"0","840","0","24.397833608606792"
"0","841","0","24.389475680450367"
"0","841","0","24.394009115571475"
"0","841","0","24.39602922281324"
"0","841","0","24.396964014380085"
"0","841","0","24.397408085488195"
"0","841","0","24.397623019911116"
"0","840","0","24.39772848649261"
"0","840","0","24.3906168348979"
"0","841","0","24.386594597383592"
"0","840","0","24.392800987783605"
"0","840","0","24.387144762855836"
"0","841","0","24.384639071666633"
"0","841","0","24.391779579028253"
"0","841","0","24.394985151085365"
"0","841","0","24.396468559823713"
"0","841","0","24.39717034071262"
"0","841","0","24.397507864628096"
"0","841","0","24.397672266177636"
"0","841","0","24.397753144758056"
"0","841","0","24.397793253543163"
"0","841","0","24.397813274965998"
"0","841","0","24.397823323960665"
"0","841","0","24.397828390986756"
"0","841","0","24.397830956034312"
"0","841","0","24.39783225895038"
"0","841","0","24.39783292273458"
"0","841","0","24.397833261790627"
"0","841","0","24.397833435378985"
"0","841","0","24.397833524435523"
"0","841","0","24.397833570209063"
"0","841","0","24.397833593775236"
"0","841","0","24.397833605926472"
"0","840","0","24.397833612200586"
"0","841","0","24.39066967265529"
