"White population","Black population","Grey population","Global temperature"
"633","5","192","18.082232225521878"
"631","5","195","18.211464877915592"
"634","5","197","18.351801454125095"
"626","5","200","18.288674998671173"
"629","5","198","18.548499582071575"
"631","5","199","18.580615006766347"
"625","4","198","18.513841996399524"
"630","4","199","18.731150312204722"
"637","4","196","18.64526409316569"
"633","3","199","18.341206903691308"
"624","3","203","18.30329140046202"
"629","3","201","18.602858947444496"
"636","3","197","18.555316346810855"
"639","3","190","18.285998184442498"
"636","3","188","18.096870984072087"
"640","1","189","18.10554659450016"
"638","1","191","17.929515768226086"
"644","1","190","17.91076647648081"
"644","1","186","17.675464306740015"
"647","0","187","17.61124466301644"
"644","0","185","17.428106154637266"
"648","1","183","17.460504803581152"
"646","1","184","17.362818963988826"
"645","1","185","17.39451450993071"
"632","1","195","17.415246672226683"
"643","1","193","17.873677269808482"
"643","1","190","17.7100275464318"
"637","1","191","17.646691236542214"
"641","1","192","17.863898528011482"
"636","1","195","17.819041932640935"
"644","1","192","17.971372987076112"
"638","1","197","17.75840838789287"
"626","1","199","17.83724641710513"
"634","1","200","18.343353757715647"
"643","1","193","18.29187734296117"
"648","1","190","17.971894941895453"
"640","1","190","17.63652591613493"
"644","1","193","17.786504472956356"
"636","1","199","17.67478079124148"
"630","1","200","17.884041074280344"
"625","1","199","18.229137932218823"
"632","1","197","18.61082658452906"
"637","1","198","18.546009847229886"
"632","1","199","18.30178654536348"
"631","1","198","18.349188471251413"
"633","1","195","18.41275955875623"
"636","0","198","18.377809721825926"
"627","0","199","18.20999924425467"
"632","0","199","18.45906727657301"
"635","0","193","18.413687743380947"
"636","0","191","18.31921624700634"
"645","0","193","18.255271554444167"
"639","0","194","17.849134076263468"
"635","0","193","17.85021967700608"
"640","0","192","18.00891483038395"
"638","0","195","17.907682143815727"
"646","0","190","17.909973546299106"
"647","0","188","17.6454096257521"
"645","0","185","17.488427495718494"
"649","0","188","17.512570736437905"
"645","0","191","17.33659710296223"
"643","0","194","17.368923247367697"
"645","0","193","17.439463911949744"
"646","0","192","17.405454119670853"
"648","0","187","17.34964949487965"
"649","0","186","17.287556434720376"
"643","0","184","17.214805682325185"
"653","0","176","17.421625263174732"
"656","0","173","17.189794417771726"
"654","0","178","16.98164930597309"
"644","0","181","16.89196926280576"
"640","0","181","17.219752563230358"
"653","0","176","17.537225596152613"
"648","0","177","17.24272952398148"
"650","0","183","17.285660727098342"
"640","0","189","17.186328383736516"
"642","0","189","17.482799246808558"
"654","0","184","17.560409833005235"
"653","0","184","17.198596538988863"
"654","0","182","17.04737105488303"
"649","0","184","16.95554634231155"
"648","0","188","17.0793506323314"
"646","0","189","17.135564483244895"
"639","0","196","17.229555122318278"
"634","0","197","17.50043249097818"
"642","0","194","17.83370235216396"
"645","0","193","17.716461742841474"
"641","0","192","17.54110480280015"
"644","0","187","17.627930331524094"
"641","0","187","17.596550977359176"
"647","0","185","17.70763125474725"
"646","0","187","17.553763938678795"
"635","0","193","17.48630044535696"
"630","0","196","17.807607402484575"
"641","0","193","18.150502894261024"
"644","0","190","17.94491940558736"
"638","1","188","17.733378779763395"
"628","2","193","17.876277202704898"
"636","2","194","18.30698842731777"
"633","2","191","18.19853568722193"
"640","2","189","18.270615472487954"
"638","2","189","18.05199681542829"
"634","2","196","18.019484044270186"
"642","2","195","18.08052279778099"
"634","2","197","17.82428646923571"
"640","2","194","17.973399159204092"
"642","2","191","17.852299175499088"
"645","2","191","17.742703213912392"
"645","2","188","17.570015256326304"
"642","2","192","17.523903732265076"
"635","2","196","17.58585753845969"
"639","2","193","17.864835547093822"
"638","2","193","17.884455333579716"
"632","2","200","17.916440911442614"
"631","2","204","18.110622164615904"
"616","2","208","18.212311577524"
"621","2","212","18.816829894550267"
"616","2","216","18.900420655801426"
"616","2","212","19.109314933475886"
"610","2","212","19.243103108513917"
"621","2","214","19.543061100657532"
"614","1","216","19.23620361528892"
"618","0","214","19.304263687504125"
"609","0","215","19.184985055325214"
"618","0","217","19.462278340925863"
"615","0","214","19.23197871397539"
"613","0","222","19.266318375978468"
"608","0","224","19.30190249745574"
"612","0","222","19.51069379741646"
"616","0","222","19.486620544794338"
"611","0","227","19.33263505748509"
"611","0","226","19.39724529980859"
"614","0","224","19.422864161951328"
"614","0","221","19.34270820745058"
"626","0","214","19.314215377116938"
"622","0","214","18.889946653879722"
"614","0","217","18.82084617470911"
"615","0","221","19.057006765118622"
"622","0","215","19.116371816091455"
"622","0","213","18.919480526500138"
"622","0","210","18.83386374095243"
"620","0","206","18.825478147139933"
"632","0","196","18.942497735411393"
"636","0","196","18.618368547996557"
"629","0","193","18.270612824581313"
"627","0","199","18.377894432596353"
"642","0","194","18.469033075268275"
"631","0","199","17.96117311265409"
"642","0","190","18.068082104191692"
"640","0","192","17.75885857402515"
"632","0","194","17.640799100425685"
"641","0","192","17.856531851333084"
"647","0","189","17.635787448097258"
"639","0","197","17.307176955184215"
"638","0","196","17.38056986247165"
"642","0","194","17.470168821353724"
"641","0","193","17.403792906615443"
"635","0","199","17.431065431360324"
"633","0","204","17.622590696062673"
"625","0","206","17.75262150982406"
"636","0","202","18.11415063331571"
"639","0","201","17.903909585187332"
"635","0","198","17.682948282235653"
"630","0","202","17.744242717299684"
"629","0","203","17.934636409000973"
"629","0","199","18.07477456717231"
"636","0","196","18.18226825568577"
"626","0","204","17.97305401063754"
