"White population","Black population","Grey population","Global temperature"
"14","152","667","20.39278613896634"
"14","152","672","20.215827396949706"
"14","153","672","20.083201358114948"
"15","151","675","20.020980427920655"
"15","149","676","19.903774456371895"
"18","147","676","19.810829689027138"
"17","149","675","19.61807899720912"
"17","146","677","19.582956647621476"
"18","147","675","19.520205032638035"
"18","146","676","19.47350945449506"
"18","148","675","19.43009244718124"
"19","148","674","19.43382702599565"
"20","148","673","19.403717439072388"
"18","148","673","19.35601235743732"
"17","147","677","19.410244718789837"
"17","146","678","19.435453943953945"
"17","146","678","19.430469205209352"
"16","146","678","19.42205983836101"
"16","144","681","19.448690583197916"
"15","144","680","19.41614722344422"
"13","145","681","19.448464057961083"
"13","148","680","19.546213564501997"
"13","147","680","19.63671365065258"
"11","139","687","19.684396767744264"
"11","140","685","19.667121376375373"
"12","137","685","19.68867350713608"
"12","128","695","19.642926808754638"
"10","128","698","19.452229315101672"
"10","129","700","19.410837405426086"
"10","130","700","19.382779468199086"
"7","130","698","19.379796407400747"
"7","130","704","19.518249496620957"
"7","131","703","19.545929263155347"
"6","132","703","19.583564757448606"
"6","135","700","19.655073493015394"
"6","133","702","19.74865218818486"
"5","133","702","19.763728064037323"
"4","134","702","19.81188718058156"
"4","134","703","19.890644212598826"
"5","129","707","19.925196820301178"
"5","126","710","19.819511761480697"
"5","126","710","19.710958634180074"
"5","127","709","19.65456133810197"
"5","129","706","19.643610919189253"
"5","127","709","19.68179402257652"
"5","128","707","19.65801793690657"
"5","125","711","19.67431051940841"
"5","121","713","19.62158030434971"
"6","136","693","19.540430342152213"
"5","129","701","19.778945638021384"
"7","124","705","19.823181719319944"
"8","124","707","19.682686479457686"
"8","120","713","19.546971249592453"
"7","121","712","19.386657464268453"
"7","119","715","19.364031401513156"
"7","118","716","19.308112040274757"
"7","117","716","19.260374739925375"
"7","114","720","19.222599015133916"
"7","111","722","19.140186034362575"
"7","112","722","19.0496438361388"
"7","111","723","19.00896727066843"
"7","110","724","18.965685276383716"
"7","109","725","18.923473104612476"
"7","108","726","18.882445294558558"
"6","111","723","18.84222148143978"
"6","114","721","18.91666924280177"
"6","115","720","19.00342411126892"
"6","115","719","19.067981135914394"
"6","112","723","19.108794064168166"
"6","114","720","19.067568546241983"
"6","113","722","19.089541027942428"
"7","114","720","19.07190777419332"
"7","114","718","19.050755358374843"
"6","95","735","19.048510602673915"
"6","93","739","18.745177307410575"
